"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Ethnicity","Nationality","Years_Singapore","Education","Student","Discipline","English","AI_expertise","GAAIS_Positive_7","GAAIS_Negative_15","BAIT_6_EnvironmentReal","GAAIS_Positive_17","BAIT_4_VideosIssues","GAAIS_Negative_10","BAIT_2_ImagesIssues","BAIT_1_ImagesRealistic","BAIT_5_ImitatingReality","GAAIS_Negative_9","BAIT_7_TextRealistic","GAAIS_Positive_12","BAIT_8_TextIssues","BAIT_3_VideosRealistic","Duration_BAIT","PID5_NegativeAffect_10","PID5_NegativeAffect_15","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Antagonism_17","PID5_Antagonism_25","PID5_Disinhibition_2","PID5_Antagonism_20","PID5_Psychoticism_21","PID5_Psychoticism_12","PID5_Detachment_14","PID5_Psychoticism_7","PID5_Disinhibition_3","PID5_NegativeAffect_11","PID5_Detachment_13","PID5_Detachment_4","PID5_Disinhibition_1","PID5_NegativeAffect_8","PID5_Disinhibition_5","PID5_Antagonism_22","PID5_Antagonism_19","PID5_Detachment_18","PID5_NegativeAffect_9","PID5_Psychoticism_24","PID5_Detachment_16","Duration_PID5","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","Duration_IPIP6"
"S077",2024-02-05 15:43:21,54.1667333333333,"chrome 121.0.0","true","Android OS",980,1810,"Female","32","Chinese","Singaporean","32","Bachelor or equivalent","No","Arts and humanities ","Native","Little experience (I tried it)",0.56,0.28,0.61,0.62,0.62,0.36,0.4,0.62,0.55,0.26,0.66,0.66,0.48,0.38,1.23073333333333,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1.68826666666667,0.18,0.64,0.25,0.54,0.59,0.33,0.35,0.36,0.35,0.92,0.39,0.29,0.28,0.65,0.58,0.37,0.55,0.1,0.6,0.26,0.4,0.29,0.43,0.17,1.44362833333413
"S442",2024-02-16 13:46:08,32.4227333333333,"chrome 119.0.0","true","Android OS",980,1524,"Female","38","Chinese","Singaaporean","38","Bachelor or equivalent","No","Chemical Engineering","Fluent (academic)","No experience (but I heard about it)",0.31,0.82,0.37,0.32,0.6,0.81,0.63,0.75,0.68,0.78,0.69,0.64,0.68,0.62,0.998231666667263,1,3,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,3,2,2,1,2,2,2,2,1.31978333333333,0.16,0.78,0.67,0.78,0.29,0.81,0.7,0.39,0.76,0.74,0.56,0.96,0.23,0.73,0.22,0.85,0.27,0.23,0.67,0.31,0.76,0.35,0.24,0.26,1.25788166666627
"S212",2024-02-05 17:25:47,36.3797,"samsung 23.0.0","true","Android OS",980,1878,"Male","24","Chinese","Singapoream","24","High school or equivalent (A-levels, Diploma, etc.)","Yes","Med","Native","Relatively experienced (I used it a few times)",0.32,0.67,0.55,0.72,0.39,0.69,0.47,0.31,0.7,0.71,0.73,0.72,0.7,0.38,0.283806666666673,2,0,2,1,2,2,2,2,3,2,0,2,2,1,0,0,1,1,2,2,2,1,2,2,2,0.747633333333333,0.63,0.29,0.19,0.19,0.66,0.55,0.49,0.55,0.47,0.57,0.69,0.6,0.62,0.58,0.81,0.6,0.62,0.62,0.53,0.46,0.41,0.64,0.59,0.41,1.84547666666666
"S103",2024-02-05 15:56:22,20.0315,"chrome 121.0.0","true","Android OS",980,1855,"Female","21","Chinese","Singaporean ","11","High school or equivalent (A-levels, Diploma, etc.)","Yes","Architecture ","Native","Experienced (I use it often)",0.62,0.71,0.75,0.44,0.65,0.68,0.8,0.67,0.6,0.31,0.29,0.67,0.66,0.69,0.4653,1,2,0,1,0,1,2,0,1,1,1,1,2,2,0,1,1,2,1,0,1,1,2,0,2,0.7322,0.35,0.76,0.29,0.74,0.83,0.42,0.31,0.27,0.24,0.58,0.64,0.25,0.23,0.65,0.23,0.74,0.22,0.23,0.79,0.63,0.28,0.74,0.23,0.61,0.520528333333135
"S468",2024-02-17 19:26:28,36.2376833333333,"chrome 121.0.0","false","Windows 10",1536,890,"Female","28","Chinese","Singaporean","28","Bachelor or equivalent","No","Accountancy","Native","Relatively experienced (I used it a few times)",0.75,0.86,0.84,0.93,0.84,0.89,0.77,0.83,0.99,0.89,0.92,0.77,0.69,0.91,0.20365499999995,3,3,3,1,2,1,2,2,2,2,2,3,2,2,1,3,3,3,2,1,1,2,3,2,3,0.782316666666667,0.31,0.37,0.63,0.78,0.6,0.76,0.81,0.63,0.34,0.77,0.75,0.62,0.89,0.96,0.95,0.91,0.92,0.85,0.99,0.99,0.84,0.99,0.93,0.33,1.14187166666687
"S454",2024-02-16 18:29:23,45.15685,"chrome 121.0.0","false","Mac OS",1440,726,"Male","26","Chinese","Singaporean","26","Bachelor or equivalent","No","Finance","Native","Relatively experienced (I used it a few times)",0.61,0.59,0.59,0.43,0.76,0.36,0.24,0.59,0.44,0.28,0.64,0.8,0.44,0.37,1.33076666666667,0,1,0,1,1,1,1,2,2,1,0,2,1,0,0,0,1,1,1,1,2,1,1,1,1,2.33526666666667,0.54,0.6,0.43,0.35,0.74,0.42,0.41,0.44,0.31,0.45,0.33,0.56,0.38,0.59,0.68,0.36,0.45,0.55,0.59,0.37,0.36,0.45,0.61,0.6,0.831329999999981
"S303",2024-02-05 19:34:43,54.0370333333333,"chrome 120.0.0","true","Android OS",980,1783,"Female","70","Chinese ","Singaporean ","70","University (master) <sub><sup>or equivalent</sup></sub>","No","Business ","Fluent (academic)","Relatively experienced (I used it a few times)",0.91,0.7,0.67,0.66,0.61,0.72,0.96,0.66,0.68,0.65,0.69,0.63,0.64,0.7,1.71420499999998,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4.22795,0.44,0.69,0.63,0.34,0.63,0.64,0.66,0.63,0.41,0.66,0.32,0.4,0.65,0.63,0.42,0.4,0.37,0.34,0.38,0.71,0.66,0.87,0.42,0.37,3.13086833333333
"S165",2024-02-05 16:32:35,28.9702166666667,"chrome 121.0.0","false","Windows 10",1280,559,"Female","23","Chinese","Singaporean","23","Bachelor or equivalent","Yes","Nursing","Native","Experienced (I use it often)",0.8,0.7,0.9,0.44,0.93,0.72,0.34,0.84,0.93,0.26,0.86,0.72,0.35,0.27,1.14346833333323,2,2,0,1,0,2,0,0,2,1,0,0,1,1,0,2,0,3,0,2,2,1,3,0,0,1.43593333333333,0.61,0.66,0.37,0.79,0.89,0.84,0.15,0.62,0.85,0.92,0.14,0.8,0.07,0.77,0.31,0.76,0.18,0.18,0.35,0.45,0.91,0.05,0.08,0.03,1.54338833333353
"S047",2024-02-05 15:35:41,110.8867,"safari 17.2.1","false","Mac OS",1470,817,"Female","24","Chinese","Singaporean","24","High school or equivalent (A-levels, Diploma, etc.)","Yes","Business","Native","Relatively experienced (I used it a few times)",0.54,0.65,0.6,0.59,0.62,0.69,0.58,0.59,0.62,0.68,0.54,0.63,0.82,0.6,1.23528333333333,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2.24831666666667,0.59,0.61,0.46,0.59,0.54,0.52,0.55,0.55,0.61,0.57,0.47,0.52,0.45,0.56,0.54,0.61,0.42,0.55,0.54,0.52,0.45,0.43,0.55,0.46,6.3255
"S046",2024-02-05 15:35:39,46.7243666666667,"chrome 121.0.0","true","Android OS",980,1845,"Female","29","Indian","Singaporean","29","Bachelor or equivalent","No","Social Work","Native","No experience (but I heard about it)",0,0.97,0.2,0.04,0.53,0.98,0.23,0.68,0.26,0.67,0.84,0.66,0.55,0.15,1.48152166666662,2,3,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,2,0,3,0,0,1.64076666666667,0.22,1,0.83,0.83,0.97,0.06,0.23,0.06,0.95,0.75,0.4,0.38,0,1,0.13,0.96,0.03,0,0.95,0.12,0.22,0,0.12,0,1.86821000000015
